PassengerRank,AirportCode,AirportName,City,State,AverageFare,InflationAdjustedAverageFare,Passengers,
1,LAX,Los Angeles International,Los Angeles,CA,347.63,347.63,952310.00,
2,ORD,Chicago O'Hare International,Chicago,IL,308.14,308.14,769786.00,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,344.71,344.71,653480.00,
4,SFO,San Francisco International,San Francisco,CA,381.49,381.49,631567.00,
5,DEN,Denver International,Denver,CO,307.03,307.03,628833.00,
6,BOS,Logan International,Boston,MA,338.87,338.87,599053.00,
7,SEA,Seattle/Tacoma International,Seattle,WA,319.90,319.90,575285.00,
8,DFW,Dallas/Fort Worth International,Dallas,TX,345.68,345.68,548777.00,
10,JFK,John F. Kennedy International,New York,NY,394.96,394.96,509684.00,
11,EWR,Newark Liberty International,Newark,NJ,427.90,427.90,498857.00,
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,320.37,320.37,459538.00,
13,LAS,McCarran International,Las Vegas,NV,223.49,223.49,453243.00,
14,MCO,Orlando International,Orlando,FL,250.38,250.38,442530.00,
15,PHL,Philadelphia International,Philadelphia,PA,362.20,362.20,426271.00,
16,MSP,Minneapolis-St Paul International,Minneapolis,MN,374.22,374.22,418856.00,
17,DCA,Ronald Reagan Washington National,Washington,DC,334.38,334.38,383003.00,
18,DTW,Detroit Metro Wayne County,Detroit,MI,369.24,369.24,370051.00,
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,315.34,315.34,366590.00,
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,240.85,240.85,351249.00,
21,SAN,San Diego International,San Diego,CA,350.25,350.25,348316.00,
22,PDX,Portland International,Portland,OR,313.25,313.25,315845.00,
23,IAH,George Bush Intercontinental/Houston,Houston,TX,427.56,427.56,311871.00,
24,TPA,Tampa International,Tampa,FL,321.03,321.03,290753.00,
25,MDW,Chicago Midway International,Chicago,IL,269.47,269.47,285279.00,
26,MIA,Miami International,Miami,FL,304.20,304.20,239451.00,
27,OAK,Metropolitan Oakland International,Oakland,CA,303.99,303.99,239415.00,
28,SLC,Salt Lake City International,Salt Lake City,UT,358.79,358.79,237576.00,
29,CLT,Charlotte Douglas International,Charlotte,NC,410.66,410.66,237230.00,
30,AUS,Austin - Bergstrom International,Austin,TX,364.29,364.29,230786.00,
32,STL,Lambert-St. Louis International,St. Louis,MO,364.68,364.68,219767.00,
33,MCI,Kansas City International,Kansas City,MO,345.35,345.35,211122.00,
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,323.98,323.98,209325.00,
35,RDU,Raleigh-Durham International,Raleigh/Durham,NC,345.87,345.87,208329.00,
36,SMF,Sacramento International,Sacramento,CA,361.45,361.45,208042.00,
37,BNA,Nashville International,Nashville,TN,345.74,345.74,197102.00,
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,356.10,356.10,189417.00,
39,HNL,Honolulu International,Honolulu,HI,387.29,387.29,183212.00,
40,IAD,Washington Dulles International,Washington-Dulles,DC,446.18,446.18,177497.00,
41,IND,Indianapolis International,Indianapolis,IN,347.33,347.33,176695.00,
42,HOU,William P Hobby,Houston-Hobby,TX,344.71,344.71,173736.00,
43,CLE,Cleveland-Hopkins International,Cleveland,OH,328.31,328.31,173422.00,
44,PIT,Pittsburgh International,Pittsburgh,PA,360.50,360.50,163560.00,
45,MSY,Louis Armstrong New Orleans International,New Orleans,LA,311.49,311.49,161761.00,
46,CMH,Port Columbus International,Columbus,OH,361.78,361.78,149692.00,
47,MKE,General Mitchell International,Milwaukee,WI,326.53,326.53,149520.00,
48,SAT,San Antonio International,San Antonio,TX,379.06,379.06,144511.00,
49,BDL,Bradley International,Hartford,CT,384.06,384.06,139686.00,
50,SJU,Luis Munoz Marin International,San Juan,PR,280.68,280.68,124493.00,
51,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,363.45,363.45,124461.00,
52,RSW,Southwest Florida International,Fort Myers,FL,327.17,327.17,114291.00,
53,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,326.81,326.81,105391.00,
54,BUF,Buffalo Niagara International,Buffalo,NY,317.85,317.85,102226.00,
55,JAX,Jacksonville International,Jacksonville,FL,372.47,372.47,100004.00,
56,BUR,Bob Hope,Burbank,CA,282.58,282.58,92534.00,
57,ONT,Ontario International,Ontario,CA,345.17,345.17,91424.00,
58,OMA,Eppley Airfield,Omaha,NE,369.80,369.80,90340.00,
59,ABQ,Albuquerque International Sunport,Albuquerque,NM,379.94,379.94,84839.00,
60,PVD,Theodore Francis Green State,Providence,RI,350.85,350.85,81468.00,
61,MEM,Memphis International,Memphis,TN,388.33,388.33,78669.00,
62,RIC,Richmond International,Richmond,VA,409.55,409.55,75399.00,
63,ANC,Ted Stevens Anchorage International,Anchorage,AK,401.13,401.13,71887.00,
64,OKC,Will Rogers World,Oklahoma City,OK,410.81,410.81,71258.00,
65,SFB,Orlando Sanford International,Sanford,FL,86.30,86.30,67684.00,
66,ORF,Norfolk International,Norfolk,VA,429.29,429.29,64883.00,
67,BOI,Boise Air Terminal,Boise,ID,350.98,350.98,64541.00,
68,SDF,Louisville International-Standiford Field,Louisville,KY,424.03,424.03,62992.00,
69,GEG,Spokane International,Spokane,WA,354.72,354.72,61963.00,
70,ALB,Albany International,Albany,NY,405.06,405.06,61613.00,
71,RNO,Reno/Tahoe International,Reno,NV,355.95,355.95,60230.00,
72,CHS,Charleston AFB/International,Charleston,SC,359.26,359.26,60039.00,
73,GRR,Gerald R. Ford International,Grand Rapids,MI,401.30,401.30,59713.00,
74,TUS,Tucson International,Tucson,AZ,384.06,384.06,58506.00,
75,ELP,El Paso International,El Paso,TX,394.36,394.36,55890.00,
76,DSM,Des Moines International,Des Moines,IA,366.93,366.93,54960.00,
77,LGB,Long Beach Airport,Long Beach,CA,221.63,221.63,54615.00,
78,TUL,Tulsa International,Tulsa,OK,407.05,407.05,54530.00,
79,ROC,Greater Rochester International,Rochester,NY,360.91,360.91,53621.00,
80,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,451.79,451.79,52675.00,
81,PIE,St Pete Clearwater International,St. Petersburg,FL,87.47,87.47,52443.00,
82,OGG,Kahului Airport,Kahului,HI,321.71,321.71,50434.00,
83,MHT,Manchester-Boston Regional,Manchester,NH,373.55,373.55,46575.00,
84,DAY,James M Cox/Dayton International,Dayton,OH,406.23,406.23,43811.00,
85,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,86.20,86.20,42732.00,
86,SYR,Syracuse Hancock International,Syracuse,NY,399.78,399.78,42644.00,
87,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,436.46,436.46,38566.00,
88,MSN,Dane County Regional-Truax Field,Madison,WI,464.49,464.49,38400.00,
89,GSP,Greenville-Spartanburg International,Greer,SC,406.63,406.63,38318.00,
90,HPN,Westchester County,White Plains,NY,361.65,361.65,36470.00,
91,PWM,Portland International Jetport,Portland,ME,405.50,405.50,34918.00,
92,TYS,McGhee Tyson,Knoxville,TN,425.91,425.91,33618.00,
93,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,374.06,374.06,33242.00,
94,PGD,Punta Gorda Airport,Punta Gorda,FL,85.91,85.91,32481.00,
95,SAV,Savannah/Hilton Head International,Savannah,GA,376.82,376.82,32407.00,
96,GSO,Piedmont Triad International,Greensboro,NC,427.54,427.54,32202.00,
97,CAK,Akron-Canton Regional,Akron,OH,319.23,319.23,31927.00,
98,ISP,Long Island MacArthur,Islip,NY,309.33,309.33,28482.00,
99,KOA,Kona International Airport at Keahole,Kona,HI,323.94,323.94,28147.00,
100,FAT,Fresno Yosemite International,Fresno,CA,423.40,423.40,27792.00,
101,PNS,Pensacola International,Pensacola,FL,444.01,444.01,27731.00,
102,MYR,Myrtle Beach International,Myrtle Beach,SC,200.90,200.90,27104.00,
103,LIH,Lihue Airport,Lihue,HI,296.48,296.48,26863.00,
104,LEX,Blue Grass,Lexington,KY,394.94,394.94,26245.00,
105,XNA,Northwest Arkansas Regional,Fayetteville,AR,474.68,474.68,25140.00,
106,COS,City of Colorado Springs Municipal,Colorado Springs,CO,410.38,410.38,25015.00,
107,MDT,Harrisburg International,Harrisburg,PA,443.59,443.59,24900.00,
108,BTV,Burlington International,Burlington,VT,407.93,407.93,24294.00,
109,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,360.45,360.45,24245.00,
110,CAE,Columbia Metropolitan,Columbia,SC,421.09,421.09,23471.00,
111,FSD,Joe Foss Field,Sioux Falls,SD,373.86,373.86,23427.00,
112,ACY,Atlantic City International,Atlantic City,NJ,129.06,129.06,23222.00,
113,BLI,Bellingham International,Bellingham,WA,176.08,176.08,22049.00,
114,PSP,Palm Springs International,Palm Springs,CA,381.03,381.03,22031.00,
115,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,561.34,561.34,20968.00,
116,EUG,Mahlon Sweet Field,Eugene,OR,343.88,343.88,20560.00,
117,FNT,Bishop International,Flint,MI,342.74,342.74,20351.00,
118,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,495.93,495.93,19721.00,
119,SGF,Springfield-Branson National,Springfield,MO,375.22,375.22,19654.00,
120,ITO,Hilo International,Hilo,HI,273.44,273.44,19610.00,
121,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,297.05,297.05,18365.00,
122,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,420.85,420.85,18341.00,
123,MAF,Midland International,Midland/Odessa,TX,437.24,437.24,18103.00,
124,CHA,Lovell Field,Chattanooga,TN,404.65,404.65,17811.00,
125,LBB,Lubbock Preston Smith International,Lubbock,TX,420.31,420.31,17786.00,
126,FAR,Hector International,Fargo,ND,434.57,434.57,17775.00,
127,MLI,Quad City International,Moline,IL,367.25,367.25,17403.00,
128,FWA,Fort Wayne International,Fort Wayne,IN,388.87,388.87,17291.00,
129,FAI,Fairbanks International,Fairbanks,AK,403.04,403.04,17235.00,
130,ILM,Wilmington International,Wilmington,NC,434.59,434.59,17172.00,
131,BIL,Billings Logan International,Billings,MT,419.13,419.13,16919.00,
132,BZN,Bozeman Yellowstone International,Bozeman,MT,417.70,417.70,16892.00,
133,MFR,Rogue Valley International - Medford,Medford,OR,347.20,347.20,16413.00,
134,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,379.57,379.57,16331.00,
135,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,427.65,427.65,16039.00,
136,AVL,Asheville Regional,Asheville,NC,358.99,358.99,15998.00,
137,TTN,Trenton Mercer,Trenton,NJ,120.23,120.23,15861.00,
138,SBN,South Bend International,South Bend,IN,338.56,338.56,15807.00,
139,PIA,General Downing - Peoria International,Peoria,IL,298.41,298.41,15697.00,
140,MSO,Missoula International,Missoula,MT,365.34,365.34,14815.00,
141,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,460.52,460.52,14256.00,
142,STT,Cyril E King,Charlotte Amalie,VI,332.84,332.84,14022.00,
143,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,416.27,416.27,13825.00,
