City,Airbnb,Hotel,percent_difference,Latitude,Longitude,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",Public Transport One Way,Taxi Base,Taxi 1km,AverageFare,Airport Code
New York,199.92,263.45,-32,40.47,-73.58,18,75,2.75,2.5,1.68,394.96,JFK
Los Angeles,157.32,168.77,-7,33.56,-118.24,15,60,1.75,3,1.68,347.63,LAX
San Francisco,200.63,273.52,-36,37.37,-122.23,15,75,2.25,3.5,1.71,381.49,SFO
Miami,170.89,195.75,-15,25.48,-80.16,19,70,2.38,2.95,2.49,304.2,MIA
Orlando,120.13,112.08,7,28.33,-81.23,15,45,2,2.65,1.49,250.38,MCO
San Diego,170.63,150.68,12,32.44,-117.1,15,52.5,2.5,3,1.86,350.25,SAN
Austin,182.44,134.5,26,30.18,-97.42,15,50,1.25,3.62,1.24,364.29,AUS
Boston,192.97,254.1,-32,42.22,-71.2,15,70,2.53,2.9,2.28,338.87,BOS
Honolulu,156.55,240.19,-53,21.2,-157.55,15,65,2.5,3.1,2.67,387.29,HNL
Washington DC,140.4,216,-54,38.51,-77.2,15,70,2.75,3.62,1.52,334.38,DCA
Seattle,141.79,174.73,-23,47.39,-122.18,15,65,2.74,2.9,1.68,319.9,SEA
Chicago,159.14,138.76,13,41.47,-87.45,15,60,2.5,3.25,1.4,308.14,ORD
New Orleans,182,156.65,14,29.59,-90.15,17.5,58,1.25,3.5,1.49,311.49,MSY
Salt Lake City,185.72,104.52,44,40.46,-111.58,12.5,55,2.5,3,1.93,358.79,SLC
Sacramento,163.52,113.64,31,38.31,-121.3,15,45,2.75,4,1.86,361.45,SMF
Nashville,165.3,126.69,23,36.7,-86.41,12,60,1.73,3,1.24,345.74,BNA
Portland,125.5,125,0,45.36,-122.36,12,50,2.5,2.5,1.71,313.25,PDX
Denver,136.49,120.78,12,39.45,-104.52,15,55,2.6,3.25,1.4,307.03,DEN
